bet_date,system_name,matchup,away_team,home_team,pick_team,suggested_pick,confidence,edge_score,status,result_note,logged_at,resolved_at
2026-04-24,Atlas Ace Gap,Cleveland Guardians @ Toronto Blue Jays,Cleveland Guardians,Toronto Blue Jays,Cleveland Guardians,F5 Cleveland Guardians,93.0,68.0,win,F5 score Cleveland Guardians 7 - Toronto Blue Jays 4,2026-04-24 15:22:53,2026-04-24 22:16:11
2026-04-24,Atlas Ace Gap,New York Yankees @ Houston Astros,New York Yankees,Houston Astros,New York Yankees,F5 New York Yankees,70.1,45.06,win,F5 score New York Yankees 5 - Houston Astros 2,2026-04-24 15:22:53,2026-04-24 22:16:11
2026-04-24,Iron WHIP Clamp,Boston Red Sox @ Baltimore Orioles,Boston Red Sox,Baltimore Orioles,Baltimore Orioles,F5 Baltimore Orioles,100.0,120.34,win,F5 score Boston Red Sox 2 - Baltimore Orioles 9,2026-04-24 15:22:53,2026-04-24 22:16:11
2026-04-24,Iron WHIP Clamp,Colorado Rockies @ New York Mets,Colorado Rockies,New York Mets,New York Mets,F5 New York Mets,100.0,118.44,push,F5 score Colorado Rockies 1 - New York Mets 1,2026-04-24 15:22:53,2026-04-24 22:16:11
2026-04-24,Iron WHIP Clamp,Miami Marlins @ San Francisco Giants,Miami Marlins,San Francisco Giants,Miami Marlins,F5 Miami Marlins,90.4,68.36,open,,2026-04-24 15:22:53,
2026-04-24,Iron WHIP Clamp,Seattle Mariners @ St. Louis Cardinals,Seattle Mariners,St. Louis Cardinals,Seattle Mariners,F5 Seattle Mariners,62.4,40.37,push,F5 score Seattle Mariners 2 - St. Louis Cardinals 2,2026-04-24 15:22:53,2026-04-24 22:16:11
2026-04-24,Iron WHIP Clamp,New York Yankees @ Houston Astros,New York Yankees,Houston Astros,New York Yankees,F5 New York Yankees,58.1,36.07,win,F5 score New York Yankees 5 - Houston Astros 2,2026-04-24 15:22:53,2026-04-24 22:16:11
2026-04-24,Iron WHIP Clamp,Philadelphia Phillies @ Atlanta Braves,Philadelphia Phillies,Atlanta Braves,Atlanta Braves,F5 Atlanta Braves,42.7,20.73,loss,F5 score Philadelphia Phillies 3 - Atlanta Braves 2,2026-04-24 15:22:53,2026-04-24 22:16:11
2026-04-24,K-Pressure Index,Cleveland Guardians @ Toronto Blue Jays,Cleveland Guardians,Toronto Blue Jays,Cleveland Guardians,F5 Cleveland Guardians,78.0,63.0,win,F5 score Cleveland Guardians 7 - Toronto Blue Jays 4,2026-04-24 15:22:53,2026-04-24 22:16:11
2026-04-24,Trinity Starter Blend,Colorado Rockies @ New York Mets,Colorado Rockies,New York Mets,New York Mets,F5 New York Mets,100.0,111.93,push,F5 score Colorado Rockies 1 - New York Mets 1,2026-04-24 15:22:53,2026-04-24 22:16:11
2026-04-24,Trinity Starter Blend,Cleveland Guardians @ Toronto Blue Jays,Cleveland Guardians,Toronto Blue Jays,Cleveland Guardians,F5 Cleveland Guardians,100.0,99.87,win,F5 score Cleveland Guardians 7 - Toronto Blue Jays 4,2026-04-24 15:22:53,2026-04-24 22:16:11
2026-04-24,Trinity Starter Blend,Miami Marlins @ San Francisco Giants,Miami Marlins,San Francisco Giants,Miami Marlins,F5 Miami Marlins,98.6,80.62,open,,2026-04-24 15:22:53,
